Date,Avinash_Distance,Juhan_Distance,Daniel_Distance,Viet_Distance,Avg_Distance,Precipitation,,,,,,,,,,
2019-08-11,4.07,1.53,0.87,4,2.62,0,,,,,,,,,,
2019-08-12,0.58,2.71,1.2,2.1,1.65,0,,,,,,,,,,
2019-08-13,2.29,2.24,3.3,1.1,2.23,0.07,,,,,,,,,,
2019-08-14,1.10,20.8,2.7,1,6.40,0,,,,,,,,,,
2019-08-15,2.38,3.1,1.9,2.4,2.45,0,,,,,,,,,,
2019-08-16,2.50,1.22,1,0.75,1.37,0,,,,,,,,,,
2019-08-17,1.91,4.4,0.5,6.6,3.35,0,,,,,,,,,,
2019-08-18,1.17,0.8,1.2,1.5,1.17,0.64,,,,,,,,,,
2019-08-19,2.11,1.15,2.9,1.4,1.89,0,,,,,,,,,,
2019-08-20,5.85,1.32,3.2,2.6,3.24,0,,,,,,,,,,
2019-08-21,1.28,0.96,1.8,2.8,1.71,0.1,,,,,,,,,,
2019-08-22,1.80,0.67,1.9,4.6,2.24,1.01,,,,,,,,,,
2019-08-23,2.96,7.1,1.6,4.1,3.94,0.09,,,,,,,,,,
2019-08-24,3.69,3.02,0.4,1.4,2.13,0,,,,,,,,,,
2019-08-25,2.35,3.3,1.4,4.7,2.94,0,,,,,,,,,,
2019-08-26,2.11,1.04,2.6,2.1,1.96,0,,,,,,,,,,
2019-08-27,2.04,3.3,2.8,5.5,3.41,0,,,,,,,,,,
2019-08-28,2.73,1.1,4,4.5,3.08,0.08,,,,,,,,,,
2019-08-29,2.63,3.9,3.9,6.8,4.31,0,,,,,,,,,,
2019-08-30,1.00,0.42,6.5,0.18,2.03,0,,,,,,,,,,
2019-08-31,3.92,1.73,3.5,1.3,2.61,0,,,,,,,,,,
2019-09-01,1.47,0.68,9.2,1.5,3.21,0,,,,,,,,,,
2019-09-02,1.32,0.69,2.1,0.04,1.04,0.3,,,,,,,,,,
2019-09-03,2.05,2.5,1.1,5.2,2.71,0,,,,,,,,,,
2019-09-04,5.05,2.77,3.5,5.1,4.11,0,,,,,,,,,,
2019-09-05,3.17,3.51,3.2,5,3.72,0,,,,,,,,,,
2019-09-06,1.94,3.21,3.3,0.05,2.13,0.32,,,,,,,,,,
2019-09-07,2.14,0.67,2.2,3.3,2.08,0.02,,,,,,,,,,
2019-09-08,1.48,3.36,1.9,1.8,2.13,0,,,,,,,,,,
2019-09-09,3.13,3.6,1.6,4.9,3.31,0,,,,,,,,,,
2019-09-10,0.11,3.9,4.6,3.2,2.95,0.01,,,,,,,,,,
2019-09-11,4.40,1.49,2.7,3.1,2.92,0,,,,,,,,,,
2019-09-12,3.27,3.65,3.5,3.6,3.50,0.17,,,,,,,,,,
2019-09-13,0.24,0.94,3.5,0.24,1.23,0,,,,,,,,,,
2019-09-14,3.66,1.04,2,1.1,1.95,0,,,,,,,,,,
2019-09-15,2.30,2.11,1.7,3.8,2.48,0,,,,,,,,,,
2019-09-16,2.43,3.2,2.4,4.6,3.16,0,,,,,,,,,,
2019-09-17,2.86,4.19,3.3,6.5,4.21,0,,,,,,,,,,
2019-09-18,4.07,0.77,4.4,4.1,3.33,0,,,,,,,,,,
2019-09-19,3.56,2.9,1.9,5.7,3.51,0,,,,,,,,,,
2019-09-20,2.64,1.12,4.6,4.1,3.12,0,,,,,,,,,,
2019-09-21,1.49,3.32,2.1,0.98,1.97,0,,,,,,,,,,
2019-09-22,1.91,2.64,3.2,4.7,3.11,0,,,,,,,,,,
2019-09-23,3.02,1.05,2.9,4.8,2.94,0.11,,,,,,,,,,
2019-09-24,2.16,3.55,1.6,4.7,3.00,0,,,,,,,,,,
2019-09-25,1.72,1.18,3.8,4,2.68,0,,,,,,,,,,
2019-09-26,3.48,5.04,1.3,5.9,3.93,0.02,,,,,,,,,,
